p,method,parallel,precision,runtime_us,rel_error
400,fft2,seq,f64,669.9816801119596,3.659726096873669e-08
400,fft2,seq,f32,642.9549993481487,9.739593682940446e-06
400,treecode,seq,f64,224.27667980082333,6.760826427087133e-06
400,treecode,seq,f32,226.5349996741861,1.0674781949158862e-05
400,chebcode,seq,f64,63.325000228360295,3.647253385124056e-10
400,chebcode,seq,f32,62.90500052273273,9.750859142542814e-06
400,ewald,seq,f64,113.32168010994792,0.006327002485849758
400,ewald,seq,f32,110.92667933553457,0.006327143842783114
400,dst,seq,f64,685.2500000968575,3.659726096873669e-08
400,dst,seq,f32,666.7766801547259,9.739593682940446e-06
400,auto,seq,f64,58.59168013557792,1.3615417163957746e-08
400,auto,seq,f32,48.151640221476555,9.718557940468384e-06
400,blocked,True,f64,44.64167985133827,2.1634678484662367e-15
400,blocked_autovec,True,f64,74.44832008332014,1.1800733718906746e-15
400,blocked_tiled,True,f64,42.62668080627918,2.1634678484662367e-15
400,blocked_windowed,True,f64,110.29168032109737,2.1634678484662367e-15
400,blocked_hybrid,True,f64,177.4316793307662,2.1634678484662367e-15
400,treecode,True,f64,209.0066799428314,6.760826427087133e-06
400,chebcode,True,f64,94.17499997653067,3.647253385124056e-10
800,reference,seq,f64,2743.499993812293,0.0
800,reference,seq,f32,2743.499993812293,0.0
800,naive,seq,f64,614.1493334628952,2.13351795228133e-15
800,naive,seq,f32,613.770833297167,1.9351387457730987e-05
800,autovec,seq,f64,620.7395830036452,2.13351795228133e-15
800,autovec,seq,f32,601.6145828956118,1.9351387457730987e-05
800,blocked,seq,f64,173.93058321128288,4.26703590456266e-15
800,blocked,seq,f32,186.28816663598022,1.9733195367334204e-05
800,blocked_autovec,seq,f64,605.6076672393829,2.13351795228133e-15
800,blocked_autovec,seq,f32,610.138832901915,1.9351387457730987e-05
800,blocked_tiled,seq,f64,169.6458324052704,4.26703590456266e-15
800,blocked_tiled,seq,f32,195.81600160260373,1.9733195367334204e-05
800,blocked_windowed,seq,f64,177.27083468344063,4.26703590456266e-15
800,blocked_windowed,seq,f32,163.48608187399805,1.9351387457730987e-05
800,blocked_hybrid,seq,f64,330.569416595002,4.26703590456266e-15
800,blocked_hybrid,seq,f32,341.66324864296865,1.9351387457730987e-05
800,adaptive,seq,f64,722.0937477541156,6.645259009605473e-08
800,adaptive,seq,f32,695.4825827657866,1.9351387457730987e-05
800,fft5,seq,f64,652.8993326355703,6.645259009605473e-08
800,fft5,seq,f32,644.6805831122523,1.9351387457730987e-05
800,fft3,seq,f64,677.309001427299,6.645259009605473e-08
800,fft3,seq,f32,696.5035014824631,1.9351387457730987e-05
800,fft2,seq,f64,706.9235822806755,6.645259009605473e-08
800,fft2,seq,f32,647.965251118876,1.9351387457730987e-05
800,treecode,seq,f64,502.00000017260516,4.336537963115059e-06
800,treecode,seq,f32,507.28475131715334,1.920820949162978e-05
800,chebcode,seq,f64,178.64583302677298,3.6842499189952795e-10
800,chebcode,seq,f32,147.32983254361898,1.9351387457730987e-05
800,ewald,seq,f64,299.5173344970681,0.0038497353187663093
800,ewald,seq,f32,296.28816749512526,0.0038498348799117315
800,dst,seq,f64,840.906250232365,6.645259009605473e-08
800,dst,seq,f32,865.3958332918895,1.9351387457730987e-05
800,auto,seq,f64,140.56250074645504,1.4327192753193724e-08
800,auto,seq,f32,184.85416755235443,1.9733195367334204e-05
800,blocked,True,f64,219.18049848560864,4.26703590456266e-15
800,blocked_autovec,True,f64,191.73958329095817,2.13351795228133e-15
800,blocked_tiled,True,f64,127.1562505280599,4.26703590456266e-15
800,blocked_windowed,True,f64,168.7950837852744,4.26703590456266e-15
800,blocked_hybrid,True,f64,348.09724941927317,4.26703590456266e-15
800,treecode,True,f64,308.74299894397456,4.336537963115059e-06
800,chebcode,True,f64,128.45833407482132,3.6842499189952795e-10
1000,reference,seq,f64,4904.833011096343,0.0
1000,reference,seq,f32,4904.833011096343,0.0
1000,naive,seq,f64,974.6249997988343,1.4595068454635876e-15
1000,naive,seq,f32,961.849998566322,2.5404336440471686e-05
1000,autovec,seq,f64,960.0999997928739,1.641945201146536e-15
1000,autovec,seq,f32,951.1625015875325,2.5404336440471686e-05
1000,blocked,seq,f64,255.57079934515062,4.2873013585492886e-15
1000,blocked,seq,f32,288.07499911636114,2.5306390594072404e-05
1000,blocked_autovec,seq,f64,940.3208008734509,1.641945201146536e-15
1000,blocked_autovec,seq,f32,972.4624978844076,2.5404336440471686e-05
1000,blocked_tiled,seq,f64,266.72499952837825,4.2873013585492886e-15
1000,blocked_tiled,seq,f32,294.5207990705967,2.5306390594072404e-05
1000,blocked_windowed,seq,f64,264.4292020704597,4.2873013585492886e-15
1000,blocked_windowed,seq,f32,252.8166980482638,2.5404336440471686e-05
1000,blocked_hybrid,seq,f64,518.533299327828,4.2873013585492886e-15
1000,blocked_hybrid,seq,f32,530.4291000356898,2.5404336440471686e-05
1000,adaptive,seq,f64,704.1583012323827,6.592480376442883e-08
1000,adaptive,seq,f32,670.8166998578236,2.5404336440471686e-05
1000,fft5,seq,f64,758.7041996885091,6.592480376442883e-08
1000,fft5,seq,f32,643.4458016883582,2.5404336440471686e-05
1000,fft3,seq,f64,745.3582977177575,6.592480376442883e-08
1000,fft3,seq,f32,614.2083992017433,2.5404336440471686e-05
1000,fft2,seq,f64,692.3874985659495,6.592480376442883e-08
1000,fft2,seq,f32,753.7625002441928,2.5404336440471686e-05
1000,treecode,seq,f64,661.6541009861976,7.417018904984179e-06
1000,treecode,seq,f32,654.2333023389801,2.462076966927741e-05
1000,chebcode,seq,f64,214.2750017810613,4.347805670923871e-10
1000,chebcode,seq,f32,203.56659952085465,2.5404336440471686e-05
1000,ewald,seq,f64,388.5583981173113,0.006169333646873692
1000,ewald,seq,f32,377.06660223193467,0.0061748072992217915
1000,dst,seq,f64,979.424998513423,6.592480376442883e-08
1000,dst,seq,f32,1004.3082991614938,2.5404336440471686e-05
1000,auto,seq,f64,178.63750108517706,1.1370771723664995e-08
